iter	Passed	Remaining
0	173	8503
1	207	4970
2	240	3761
3	289	3323
4	323	2915
5	375	2751
6	408	2509
7	429	2256
8	462	2105
9	497	1989
10	534	1896
11	571	1809
12	605	1724
13	651	1675
14	676	1578
15	713	1517
16	729	1416
17	766	1361
18	807	1317
19	846	1270
20	883	1219
21	925	1177
22	962	1130
23	1025	1110
24	1074	1074
25	1126	1039
26	1166	993
27	1201	943
28	1234	893
29	1265	843
30	1297	795
31	1328	747
32	1364	703
33	1397	657
34	1431	613
35	1461	568
36	1512	531
37	1560	492
38	1607	453
39	1644	411
40	1718	377
41	1776	338
42	1851	301
43	1895	258
44	1930	214
45	1969	171
46	2000	127
47	2031	84
48	2063	42
49	2102	0
