Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Putra Heights, Selangor",2200,1400,4.0,3.0,2-storey Terraced House,Fully Furnished,"Putra Heights, Selangor",Putra Heights,Selangor,"Parking, Playground, Jogging Track",False
"I-Santorini, Tanjong Tokong, Penang",1500,850,3.0,2.0,Condominium,Partially Furnished,"Jalan Seri Tanjung Pinang 1, Seri Tanjung Pinang, 10470 Tanjong Tokong, Penang",Tanjong Tokong,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Puncak Alam, Selangor",1800,1200,4.0,3.0,2-storey Terraced House,Not Furnished,"Puncak Alam, Selangor",Puncak Alam,Selangor,"Parking, Playground, Minimart",False
"Simfoni 1, Semenyih, Selangor",1500,1073,3.0,2.0,Condominium,Fully Furnished,"Jalan 3/20, Bandar Teknologi Kajang, 43500 Semenyih, Selangor",Semenyih,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Legend Height, Segambut, Kuala Lumpur",2300,1050,3.0,2.0,Service Residence,Partially Furnished,"Jalan Udang Siar 2, Taman Sri Segambut, 52000 Segambut, Kuala Lumpur",Segambut,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"D'Rich Executive Suites, Johor Bahru, Johor",1500,650,1.0,1.0,Condominium,Fully Furnished,"Jalan Duta 6, Taman Nusa Duta, 81200 Johor Bahru, Johor",Johor Bahru,Johor,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",False
"Kundang, Selangor",4000,3150,4.0,3.0,2-storey Terraced House,Fully Furnished,"Kundang, Selangor",Kundang,Selangor,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall",False
"Country Garden Central Park (Serviced Apartment), Tampoi, Johor",1400,500,1.0,1.0,Service Residence,Fully Furnished,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, 81200 Tampoi, Johor",Tampoi,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The Era, Segambut, Kuala Lumpur",2600,1023,3.0,2.0,Service Residence,Partially Furnished,"Jalan Segambut, Kawasan Perusahaan Segambut, 51200 Segambut, Kuala Lumpur",Segambut,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Nibong Tebal, Penang",1100,1300,4.0,3.0,2-storey Terraced House,Partially Furnished,"Nibong Tebal, Penang",Nibong Tebal,Penang,None,False
"Alira Metropark Subang, Subang Jaya, Selangor",2799,990,3.0,2.0,Service Residence,Partially Furnished,"Jalan MP 1, Tropicana Metropark, 47500 Subang Jaya, Selangor",Subang Jaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Vertu Resort @ Aspen Vision City, Batu Kawan, Penang",2000,1030,3.0,2.0,Condominium,Fully Furnished,"Persiaran Cassia Barat 6, Bandar Cassia, 14100 Batu Kawan, Penang",Batu Kawan,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Neu Suites, Ampang, Kuala Lumpur",1800,430,2.0,1.0,Service Residence,Fully Furnished,"Jalan Nipah, Kampung Berembang, 55000 Ampang, Kuala Lumpur",Ampang,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall",False
"Zen 6, Gelugor, Penang",2650,1050,3.0,2.0,Condominium,Fully Furnished,"Persiaran Bayan Mutiara 3, 11900 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Taman Sepakat Indah Apartment (P3), Kajang, Selangor",600,750,3.0,2.0,Apartment,Not Furnished,"Jalan Sepakat Indah 3, Taman Sepakat Indah, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Playground, Minimart",False
"Kota Kemuning, Selangor",2800,1900,3.0,3.0,2-storey Terraced House,Not Furnished,"Kota Kemuning, Selangor",Kota Kemuning,Selangor,"Parking, Security, Playground, Jogging Track",False
"D' Pristine @ Medini, Iskandar Puteri, Johor",3000,1000,3.0,2.0,Service Residence,Fully Furnished,"Jalan Medini Utara 1, 79200 Iskandar Puteri, Johor",Iskandar Puteri,Johor,"Parking, Security, Lift, Swimming Pool, Gymnasium",False
"Molek Ria, Johor Bahru, Johor",1500,1000,3.0,2.0,Apartment,Partially Furnished,"Persiaran Bumi Hijau, Taman Molek, 81100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Playground",False
